iter	Logloss_SumError	Logloss_SumWeight
0	413.09702	596
1	413.078324	596
2	413.0596315	596
3	413.0409426	596
4	413.0222572	596
5	413.0035754	596
6	412.9848971	596
7	412.9662224	596
8	412.9475512	596
9	412.9288836	596
10	412.9102195	596
11	412.891559	596
12	412.8729021	596
13	412.8542486	596
14	412.8355987	596
15	412.8169524	596
16	412.7983096	596
17	412.7796704	596
18	412.7610347	596
19	412.7424025	596
20	412.7237739	596
21	412.7051488	596
22	412.6865273	596
23	412.6679093	596
24	412.6492948	596
25	412.6306839	596
26	412.6120765	596
27	412.5934726	596
28	412.5748723	596
29	412.5562756	596
